;Plot_period;Averaging;Ion_masking;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan;Ion_contamination_correction
32;;;;0.0406945450889919;0.0017745450889919;0.001855454911008;2020-11-18 11:52:03.819371;2020-11-18 12:52:03.819371;2020-11-18 13:22:03.819371;2020-11-18 14:22:03.819371;2020-11-18 13:40:00;2793.203411629072;11915.3422265625;9122.138814933429;24.65927047420217;4.726731492010416;9.182845390949993;5237.160861280724;2443.957449651652;-1.0;25.10819808185012;0.0027524463934649;1.0;
33;;;;0.0435629429676187;0.0010129429676187;0.0010370570323813;2020-11-18 11:51:24.414261;2020-11-18 12:51:24.414261;2020-11-18 13:21:24.414261;2020-11-18 14:21:24.414261;2020-11-18 13:40:00;2749.34491944527;11399.635920410155;8650.291000964886;25.590790241648943;5.032744787773379;8.455604205618524;5150.24283072386;2400.8979112785896;-1.0;26.08097132567986;0.0030150397625664;1.0;
34;;;;0.0456134848482332;0.0010134848482332;0.0010365151517667;2020-11-18 11:50:58.642964;2020-11-18 12:50:58.642964;2020-11-18 13:20:58.642964;2020-11-18 14:20:58.642964;2020-11-18 13:40:00;2233.6713793038866;9621.586492745537;7387.915113441648;25.65880037543924;4.7239616996879485;7.708030035648313;4151.977497104437;1918.3061178005505;-1.0;26.090033553960016;0.0035314473912256;1.0;
35;;;;0.0486328592620257;0.0019828592620257;0.0020671407379742;2020-11-18 11:50:23.828521;2020-11-18 12:50:23.828521;2020-11-18 13:20:23.828521;2020-11-18 14:20:23.828521;2020-11-18 13:40:00;1730.5416281330192;7119.10723676409;5388.565608631071;21.89565473853774;4.331159512182317;12.625848507672066;3514.4806044309457;1783.9389762979265;4.179914451740565;22.31991575139157;0.0041420885208562;1.0;
36;;;;0.0518568028324153;0.0011568028324153;0.0011831971675846;2020-11-18 11:49:50.212445;2020-11-18 12:49:50.212445;2020-11-18 13:19:50.212445;2020-11-18 14:19:50.212445;2020-11-18 13:35:00;1536.471719618388;6331.168845389229;4794.697125770841;19.565025302786022;4.359332622150373;9.182649489361266;2942.158195657757;1405.6864760393694;-1.0;20.044799724846385;0.0041806185456654;1.0;
37;;;;0.0541777961899522;0.0011377961899522;0.0011622038100477;2020-11-18 11:49:27.979135;2020-11-18 12:49:27.979135;2020-11-18 13:19:27.979135;2020-11-18 14:19:27.979135;2020-11-18 13:35:00;2047.7277393515496;5024.446073376886;2976.718334025336;20.601626736705093;4.295558721964678;4.791730374293814;2712.89237603134;665.1646366797897;-1.0;21.04468695258661;0.0070697609216282;1.0;
38;;;;0.057723664124863;0.002383664124863;0.0024863358751369;2020-11-18 11:48:56.765268;2020-11-18 12:48:56.765268;2020-11-18 13:18:56.765268;2020-11-18 14:18:56.765268;2020-11-18 13:40:00;1551.6704785124114;3590.7320189525462;2039.0615404401349;17.799960002667515;4.17592187201219;3.6727787518064994;1901.4442870288456;349.7738085164342;-1.0;18.28324094841265;0.0089664978647315;1.0;
39;;;;0.0614570850268705;0.0012470850268705;0.0012729149731294;2020-11-18 11:48:27.016088;2020-11-18 12:48:27.016088;2020-11-18 13:18:27.016088;2020-11-18 14:18:27.016088;2020-11-18 13:35:00;1422.7000546571935;3282.3458147321426;1859.6457600749488;16.948584785278044;3.998765213858292;4.412344724780033;1814.8198719825232;392.1198173253295;-1.0;17.413921139689403;0.0093641066022098;1.0;
40;;;;0.0655754641615291;0.0028454641615291;0.0029745358384708;2020-11-18 11:47:57.354651;2020-11-18 12:47:57.354651;2020-11-18 13:17:57.354651;2020-11-18 14:17:57.354651;2020-11-18 13:55:00;1202.6505890399096;2772.667474143288;1570.0168851033784;14.634224298251391;3.488298941526084;3.8948810105785774;1681.1038473046185;478.4532582647089;-1.0;15.044226477854668;0.0095822068033771;1.0;
41;;;;0.0700877521397283;0.0015377521397283;0.0015722478602716;2020-11-18 11:47:28.081133;2020-11-18 12:47:28.081133;2020-11-18 13:17:28.081133;2020-11-18 14:17:28.081133;2020-11-18 13:35:00;996.8732078124102;2688.400043402778;1691.5268355903677;14.37845360200254;3.598751545585812;4.613349599537648;1325.6008661216126;328.7276583092024;-1.0;14.82197492481336;0.0087624828722509;1.0;
